Ride,Event,Rider ID,Horse ID,Placing,Time,Weight (lbs),Miles,Points,BC?,BC Points,BC Score,Pull,Pull Reason,Comments
1988 Balance Forward,,1783,2245,,,,1600,,FALSE,,,FALSE,,
1990 Balance Forward,,1783,2013,,,,1747,,FALSE,,,FALSE,,
1991 Balance Forward,,1093,1,,,,60,,FALSE,,,FALSE,,
1991 Balance Forward,,1783,2023,,,,1058,,FALSE,,,FALSE,,
1991 Balance Forward,,1783,2027,,,,1343,,FALSE,,,FALSE,,
1992 Balance Forward,,1783,2040,,,,1721,,FALSE,,,FALSE,,
1994 Balance Forward,,1783,2012,,,,2445,,FALSE,,,FALSE,,
1994 Valley Ride,35 miles - Senior,1199,1,,,,35,,FALSE,,,FALSE,,
1995 Balance Forward,,1634,1,,,,1015,,FALSE,,,FALSE,,
1995 Balance Forward,,1783,2008,,,,2750,,FALSE,,,FALSE,,
1996 Balance Forward,,1212,1,,,,413,,FALSE,,,FALSE,,
1996 Balance Forward,,1783,2004,,,,1000,,FALSE,,,FALSE,,
1996 Balance Forward,,1783,2053,,,,2058,,FALSE,,,FALSE,,
1996 Balance Forward,,1783,2116,,,,75,,FALSE,,,FALSE,,
1996 Balance Forward,,1783,2128,,,,1530,,FALSE,,,FALSE,,
1996 Balance Forward,,1783,2216,,,,55,,FALSE,,,FALSE,,
1996 George Lake,25 miles - Senior,1200,2296,,,,25,,FALSE,,,FALSE,,
1997 Balance Forward,,1061,1,,,,50,,FALSE,,,FALSE,,
1997 Balance Forward,,1267,1,,,,190,,FALSE,,,FALSE,,
1997 Balance Forward,,1279,1,,,,30,,FALSE,,,FALSE,,
1997 Balance Forward,,1783,1163,,,,425,,FALSE,,,FALSE,,
1997 Balance Forward,,1783,2075,,,,725,,FALSE,,,FALSE,,
1997 Balance Forward,,1783,2115,,,,897,,FALSE,,,FALSE,,
1997 Balance Forward,,1783,2176,,,,199,,FALSE,,,FALSE,,
1997 Balance Forward,Total Compiled Miles,1783,2213,,,,570,,FALSE,,,FALSE,,
1997 Balance Forward,,1783,2229,,,,100,,FALSE,,,FALSE,,
1997 Balance Forward,,1783,2246,,,,30,,FALSE,,,FALSE,,
1997 Balance Forward,,1278,2265,,,,65,,FALSE,,,FALSE,,
1997 UAE Pre-ride,100 miles - Senior,1017,1,,,,100,,FALSE,,,FALSE,,
1998 Balance Forward,Senior,1007,1,,,,1295,,FALSE,,,FALSE,,
1998 Balance Forward,,1008,1,,,,4211,,FALSE,,,FALSE,,
1998 Balance Forward,,1009,1,,,,375,,FALSE,,,FALSE,,
1998 Balance Forward,Total Compiled Miles,1012,1,,,,5597,,FALSE,,,FALSE,,
1998 Balance Forward,Senior,1017,1,,,,4927,,FALSE,,,FALSE,,
1998 Balance Forward,,1025,1,,,,2125,,FALSE,,,FALSE,,
